appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
577060.0,Everyday Anatomy VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583200.0,Vision Therapy VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.05,0.01
583510.0,Air Rage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583620.0,3D Organon Anatomy,2.0,2.13,2.07,1.34,1.53,1.22,1.44,1.21,1.84,2.61,2.2,2.25,1.61,1.7,2.2,2.54,2.61,2.2,1.74,1.34,2.72,2.61,2.84,1.32,2.3,2.09,1.85,2.28,2.18,2.36,1.81,1.82,2.15,2.57,2.8,2.12,2.07,1.63,2.18,2.52,2.44,2.26,2.43,2.0,2.75,1.98,2.42,2.09
585410.0,GameMaker Studio 2 Desktop,161.63,157.04,146.63,144.83,140.69,135.45,173.3,161.52,175.42,184.84,178.15,187.61,204.78,215.69,226.9,256.45,258.84,240.33,257.63,241.33,269.71,228.43,212.61,222.03,257.81,247.14,235.37,245.68,225.04,223.82,247.46,257.37,208.99,206.46,196.9,186.27,213.94,198.17,196.02,214.74,202.4,153.55,174.1,161.29,149.53,149.65,139.06,136.64
585600.0,GameMaker Studio 2 Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585610.0,GameMaker Studio 2 UWP,0.45,0.42,0.4,0.35,0.45,0.13,0.22,0.32,0.19,0.23,0.28,0.31,0.22,0.22,0.2,0.39,0.37,0.41,0.35,0.67,1.17,0.97,0.92,1.11,0.94,1.15,1.51,0.96,0.9,1.3,0.56,0.97,0.86,0.35,0.85,1.52,1.1,0.6,1.18,1.08,1.24,1.57,1.49,1.05,1.05,1.26,0.97,0.78
585620.0,GameMaker Studio 2 Mobile,8.47,8.42,8.31,8.12,10.17,11.02,13.41,11.63,17.17,16.11,16.82,16.73,19.02,20.26,21.77,23.02,21.1,21.55,19.29,16.35,18.32,16.35,18.49,16.51,18.23,16.1,13.9,15.18,13.47,14.75,16.13,16.72,14.62,11.59,10.41,9.29,9.92,10.49,10.23,9.5,9.51,8.61,7.45,7.54,6.28,5.79,5.89,5.2
588350.0,VR Meditation SkyRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588720.0,Easy German™ Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592450.0,FERIT Simulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597910.0,Quantum Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601890.0,PD Howler 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
