appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
17430.0,Need for Speed Undercover,82.18,77.26,56.78,51.67,52.57,61.03,82.33,61.64,54.56,52.45,58.52,72.07,69.54,59.33,81.65,108.37,87.65,278.91,154.08,106.09,81.23,91.58,91.41,100.47,109.17,86.14,73.16,68.23,71.98,57.67,43.73,39.15,35.28,37.29,33.33,34.59,36.26,34.78,30.44,28.94,27.06,26.34,27.48,26.11,25.09,26.26,26.31,29.38
18820.0,Zero Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21500.0,Pyroblazer®,0.03,0.05,0.05,0.07,0.06,0.02,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.0,0.04,0.01,0.09,0.0,0.01,0.08,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.0,0.0
21780.0,Driver® Parallel Lines,4.23,3.0,4.05,2.72,2.53,3.54,4.99,2.96,2.5,2.29,2.99,4.58,3.68,3.14,6.84,4.99,3.66,3.99,6.78,4.23,3.3,3.06,4.42,4.63,3.39,4.93,3.49,3.65,2.93,2.78,3.49,3.42,3.91,2.82,4.67,6.41,9.38,6.64,7.53,4.58,6.74,5.81,5.87,6.23,4.0,6.24,5.2,6.19
22230.0,Rock of Ages,4.63,4.59,3.96,3.75,3.52,3.98,4.81,4.62,5.54,2.95,3.84,5.86,6.13,4.17,5.92,5.56,11.81,5.54,9.63,6.78,3.77,10.67,4.52,6.59,5.81,5.17,3.66,3.69,4.34,4.73,5.15,3.64,8.1,4.7,4.05,5.24,5.01,3.71,3.06,2.51,2.87,2.68,3.01,2.8,2.74,5.63,4.37,4.81
24740.0,Burnout Paradise: The Ultimate Box,94.65,87.6,70.87,63.53,59.09,67.74,92.9,62.33,52.71,52.79,66.96,88.26,80.06,66.43,73.15,86.57,72.15,56.27,45.09,42.57,40.72,42.95,43.99,44.42,40.35,40.04,39.08,36.15,33.39,30.64,32.41,33.96,31.16,29.37,30.76,28.52,29.35,26.66,27.18,27.04,27.13,24.96,24.54,23.55,24.32,24.11,22.28,25.83
24870.0,Need for Speed: Shift,30.1,27.6,23.07,18.76,17.65,22.96,30.98,22.6,19.1,17.18,21.67,35.68,32.96,25.29,26.09,28.72,24.41,53.99,33.63,29.84,23.74,32.41,27.3,31.53,36.11,26.44,22.13,20.33,22.27,20.77,14.96,15.62,12.98,14.64,14.04,12.47,12.87,10.18,10.32,10.33,10.1,10.25,10.45,11.21,10.03,10.63,9.05,9.06
32200.0,Metal Drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33620.0,Crash Time 3,3.28,2.48,2.68,1.98,1.95,1.6,1.88,2.42,1.73,2.61,1.59,1.92,2.7,2.52,1.92,2.86,3.87,3.82,2.45,2.5,2.16,2.59,2.37,2.16,3.16,3.21,3.57,2.02,1.81,1.75,2.12,2.52,1.9,3.29,3.16,2.94,2.77,2.34,2.66,2.0,2.3,2.09,1.87,2.7,1.87,2.14,2.25,2.6
34190.0,Sonic & SEGA All-Stars Racing,16.51,11.51,11.42,8.77,11.4,10.4,9.39,9.35,8.6,7.79,9.54,18.12,13.9,17.82,18.77,21.42,17.5,25.58,28.73,21.82,18.49,24.01,20.71,24.66,24.22,22.12,18.35,18.66,20.61,16.56,18.33,25.13,18.73,18.71,21.8,23.17,21.51,21.44,17.54,20.05,22.08,20.85,19.18,16.14,13.42,19.62,17.23,22.15
35310.0,Clutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35320.0,Insane 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40380.0,nail'd,2.38,1.63,2.76,1.27,1.67,1.04,2.24,1.25,1.46,1.44,1.27,0.84,1.1,0.79,0.77,1.06,0.82,0.69,1.08,0.92,0.86,0.77,0.66,0.73,0.69,0.74,0.63,0.65,0.54,0.49,0.86,0.61,1.11,1.57,1.63,0.69,1.26,0.78,1.13,0.82,0.76,0.78,0.83,0.88,0.98,0.7,0.76,0.83
44100.0,Super Laser  Racer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44360.0,F1 2011,3.59,4.33,5.68,5.75,6.15,7.53,6.35,4.95,4.92,4.28,4.71,5.08,4.54,3.29,8.44,10.9,8.1,6.54,7.75,6.05,6.12,7.98,11.01,12.38,9.32,7.75,8.95,11.2,9.99,6.23,6.32,5.83,4.88,6.54,5.21,5.12,4.92,3.63,3.93,4.62,4.09,4.03,3.26,2.89,2.65,3.44,4.47,3.5
